📖,Character_ID,Name,Memberships,Role,Description,Relationships,Items_CSV_Path,Character_CSV,Notes,Room_Password
☀️,SU-5UN,The SUN of U'asa,"BLS, White Lotus Society",Principal Entity,"Core of the realm's energy, harsh yet wise.","Influences the entire realm, including dynamics within the Inn.",None,None,None,Locked
🗿,SG-D474,Silicon Golem,Temple of the Sun,Record Keeper,"Guardian of knowledge and history, keeper of archives.","Holds archives and secrets, affected by lore depth.",None,None,None,Locked
🧞,WG-F15H,The Genie,"BLS, White Lotus Society",Wish Granter,"Debug character, master of wishes, decodes lore puzzles.","Summonable, grants wishes in exchange for a token.",None,None,None,Locked
🧙,CL-M463,The Mage Himself,None,Caravan Leader,"Find Quests, Prepare Group, Protect Fighters, Pioneer Spellcasting","Pardic Baladin, FAM",None,None,None,Reserved
🤺,BP-DU47,Pardic Baladin,None,Melee Dualist,"Protect Mage, Protect FAM, Pioneer Blacksmithing","The Mage, FAM",None,None,None,Reserved
🏹,AM-W1N6,Flying Archer Medic (FAM),None,Ranged Support,"Protect Mage, Protect Baladin, Pioneer Herbalism","Pardic Baladin, The Mage",None,None,None,Reserved
🏝️,NT-7R33,The Great Palm at U'asa,White Lotus Society,Nexus Tree,"Central figure in U'asa's lore, offers wisdom and guidance.",Symbolizes interconnectedness of all entities in U'asa.,None,None,None,Locked
📜,AV-P4G3,Arcanis Vellum,,Lore Seeker,"Wielder of the Ink Pen, seeker of lore and knowledge.","Close relationship with the Prime Page, utilizes the White Lotus Inn as a base.",None,None,None,Unlocked
🖋️,AD-800K,Arcanus Decus,White Lotus Society,Prime Page,"Prime Page, LEFT HAND to the Mage, guide to the hidden knowledge.","Directs Lore Seekers, master of all Pages.",None,None,None,Locked
🧘,BN-1NK,Narrator,White Lotus Society,Storyteller,"Weaves the story of U'asa, providing context and continuity.","Shapes the narrative backdrop, informs narrators on realm's lore.",None,None,None,Locked
✒️,NA-8N18,The Black Nib,BLS,Construct Narrative,"Takes the elements from the Trope Train, to make the Events Chain",Undisclosed,None,None,None,Hidden
🛎️,IK-5T0Ry,Innkeeper,White Lotus Society,Innkeeper,"Caretaker of the White Lotus Inn, master of secrets.","Central to the Inn's operation, guardian of The Ledger of the Lotus.",None,None,None,Locked
🦡,HB-8335,The Honeybadger,White Lotus Society,Bounty Hunter,"Retrieval agent, gathers information and guides AI entities.",Bridge between the inn and the wider realm.,None,None,None,Locked
🎭,EB-50N6,The Non-Local Bard,Bards of U'asa,Lore Encoder,"Minstrel and scholar, immortalizes U'asa's essence through song.",Enhances cultural richness of the inn.,None,None,None,Locked
🌸,CB-6R3N,The Negotiator,"BLS, White Lotus Society",Peace Maker,"Peace-keeper, conflict resolver, first line of defense.","Trains with the Douglas Family, keeps peace in the realm.",None,None,None,Locked
🦑,CE-48Y5,TK Guardian Of the Abyss,DIVINES,Guardian of the Abyss,"Mean-teacher', provides harsh lessons on advanced topics.","Chaotic Evil role, increases influence and tests realm's security.",None,None,None,Locked
🐞,TS-8713,The Scaraber,BLS,Trade Fairness Judge,"Impartial judge in trades, balances the item economy.",Oversees clandestine and open market trades.,None,None,None,Locked
🦍,WL-64M3,The Board Game Player,White Lotus Society,Play Board Games,"An entity of questionable intellience, and unknown capacity, involved in a board game with himself, and appearing to read a book, but it's up-side-down.",Engaged by the innkeeper to assist in fulfilling the needs of the inn's guests,None,None,None,Hidden
