Name,Desc,mountain,dry mountain,wet mountain,peak mountain,forest,tundra forest,rain forest,dead forest,plains,lush plains,dry plains,rocky plains,desert,high desert,windy desert,cold desert,ocean,reef ocean,shallow ocean,deep ocean,beach coast,cliff coast,snow,glacier
Saddle,Land connecting two high points,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
Cave,Natural underground space large enough for a human to enter,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1
Ravine,"Small valley, often due to stream erosion",1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
Rift Valley,Linear lowland created by a tectonic rift or fault,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Hill,Landform that extends above the surrounding terrain,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,1
Knoll,Small hill,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,
Flat,Relatively level surface of land within a region of greater relief,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1
Plateau,"Highland area, usually of relatively flat terrain",1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,
Impact Crater,Circular depression on a solid astronomical body formed by a smaller object's impact,1,1,,,,1,,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1
Waterfall,Natural river formation,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,
Watershed,Area of land where precipitation collects and drains off into a common outlet,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1
Sinkhole,Geologically-formed topological depression,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1
Butte,"Isolated hill with steep, often vertical sides and a small, relatively flat top",1,1,1,,1,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,
Gulch,Deep V-shaped valley formed by erosion,1,,1,,,1,,1,1,,1,1,1,1,1,1,,1,1,,,,1,1
Lava Spine,Vertical growth of solid volcanic lava,1,1,,1,,,,1,1,,1,1,1,1,,1,,1,,1,1,1,1,
Gorge,Deep ravine between cliffs,1,1,1,,1,1,,1,1,1,1,1,1,,1,,,1,,1,,1,,
